,accuracy,activation,max_iter,n_iter_no_change,solver,tol,knn
285,0.7840227344490054,tanh,300,15,adam,0.001,3
321,0.7840227344490054,tanh,500,15,adam,0.001,3
249,0.7840227344490054,tanh,200,15,adam,0.001,3
248,0.7832333438585412,tanh,200,15,adam,0.0001,3
236,0.7832333438585412,tanh,200,10,adam,0.0001,3
224,0.7832333438585412,tanh,200,5,adam,0.0001,3
1077,0.7827597095042627,logistic,500,15,adam,0.001,10
1005,0.7827597095042627,logistic,200,15,adam,0.001,10
1041,0.7827597095042627,logistic,300,15,adam,0.001,10
43,0.782443953268077,identity,300,5,sgd,0.1,3
7,0.782443953268077,identity,200,5,sgd,0.1,3
79,0.782443953268077,identity,500,5,sgd,0.1,3
609,0.7822860751499842,logistic,300,15,adam,0.001,5
573,0.7822860751499842,logistic,200,15,adam,0.001,5
645,0.7822860751499842,logistic,500,15,adam,0.001,5
8,0.7821281970318914,identity,200,5,adam,0.0001,3
23,0.7821281970318914,identity,200,10,adam,0.1,3
44,0.7821281970318914,identity,300,5,adam,0.0001,3
59,0.7821281970318914,identity,300,10,adam,0.1,3
95,0.7821281970318914,identity,500,10,adam,0.1,3
80,0.7821281970318914,identity,500,5,adam,0.0001,3
1247,0.7819703189137985,relu,300,10,adam,0.1,10
1283,0.7819703189137985,relu,500,10,adam,0.1,10
1211,0.7819703189137985,relu,200,10,adam,0.1,10
213,0.7818124407957057,logistic,500,15,adam,0.001,3
177,0.7818124407957057,logistic,300,15,adam,0.001,3
141,0.7818124407957057,logistic,200,15,adam,0.001,3
1185,0.7816545626776129,tanh,500,15,adam,0.001,10
1181,0.7816545626776129,tanh,500,15,sgd,0.001,10
1149,0.7816545626776129,tanh,300,15,adam,0.001,10
1109,0.7816545626776129,tanh,200,15,sgd,0.001,10
1145,0.7816545626776129,tanh,300,15,sgd,0.001,10
1113,0.7816545626776129,tanh,200,15,adam,0.001,10
1098,0.78149668455952,tanh,200,10,sgd,0.01,10
247,0.78149668455952,tanh,200,15,sgd,0.1,3
1134,0.78149668455952,tanh,300,10,sgd,0.01,10
283,0.78149668455952,tanh,300,15,sgd,0.1,3
319,0.78149668455952,tanh,500,15,sgd,0.1,3
1170,0.78149668455952,tanh,500,10,sgd,0.01,10
1084,0.7813388064414272,tanh,200,5,sgd,0.0001,10
1096,0.7813388064414272,tanh,200,10,sgd,0.0001,10
439,0.7813388064414272,identity,200,5,sgd,0.1,5
802,0.7813388064414272,relu,300,5,adam,0.01,5
766,0.7813388064414272,relu,200,5,adam,0.01,5
475,0.7813388064414272,identity,300,5,sgd,0.1,5
1097,0.7813388064414272,tanh,200,10,sgd,0.001,10
511,0.7813388064414272,identity,500,5,sgd,0.1,5
1147,0.7813388064414272,tanh,300,15,sgd,0.1,10
1111,0.7813388064414272,tanh,200,15,sgd,0.1,10
1108,0.7813388064414272,tanh,200,15,sgd,0.0001,10
1110,0.7813388064414272,tanh,200,15,sgd,0.01,10
1157,0.7813388064414272,tanh,500,5,sgd,0.001,10
1121,0.7813388064414272,tanh,300,5,sgd,0.001,10
1133,0.7813388064414272,tanh,300,10,sgd,0.001,10
1183,0.7813388064414272,tanh,500,15,sgd,0.1,10
1182,0.7813388064414272,tanh,500,15,sgd,0.01,10
1146,0.7813388064414272,tanh,300,15,sgd,0.01,10
1169,0.7813388064414272,tanh,500,10,sgd,0.001,10
838,0.7813388064414272,relu,500,5,adam,0.01,5
1085,0.7813388064414272,tanh,200,5,sgd,0.001,10
305,0.7811809283233344,tanh,500,10,sgd,0.001,3
233,0.7811809283233344,tanh,200,10,sgd,0.001,3
282,0.7811809283233344,tanh,300,15,sgd,0.01,3
281,0.7811809283233344,tanh,300,15,sgd,0.001,3
269,0.7811809283233344,tanh,300,10,sgd,0.001,3
317,0.7811809283233344,tanh,500,15,sgd,0.001,3
318,0.7811809283233344,tanh,500,15,sgd,0.01,3
246,0.7811809283233344,tanh,200,15,sgd,0.01,3
245,0.7811809283233344,tanh,200,15,sgd,0.001,3
1233,0.7810230502052415,relu,300,5,adam,0.001,10
665,0.7810230502052415,tanh,200,10,sgd,0.001,5
1246,0.7810230502052415,relu,300,10,adam,0.01,10
701,0.7810230502052415,tanh,300,10,sgd,0.001,5
713,0.7810230502052415,tanh,300,15,sgd,0.001,5
1269,0.7810230502052415,relu,500,5,adam,0.001,10
749,0.7810230502052415,tanh,500,15,sgd,0.001,5
1282,0.7810230502052415,relu,500,10,adam,0.01,10
677,0.7810230502052415,tanh,200,15,sgd,0.001,5
737,0.7810230502052415,tanh,500,10,sgd,0.001,5
1210,0.7810230502052415,relu,200,10,adam,0.01,10
1197,0.7810230502052415,relu,200,5,adam,0.001,10
257,0.7808651720871487,tanh,300,5,sgd,0.001,3
234,0.7808651720871487,tanh,200,10,sgd,0.01,3
656,0.7808651720871487,tanh,200,5,adam,0.0001,5
750,0.7808651720871487,tanh,500,15,sgd,0.01,5
715,0.7808651720871487,tanh,300,15,sgd,0.1,5
270,0.7808651720871487,tanh,300,10,sgd,0.01,3
221,0.7808651720871487,tanh,200,5,sgd,0.001,3
714,0.7808651720871487,tanh,300,15,sgd,0.01,5
293,0.7808651720871487,tanh,500,5,sgd,0.001,3
751,0.7808651720871487,tanh,500,15,sgd,0.1,5
680,0.7808651720871487,tanh,200,15,adam,0.0001,5
306,0.7808651720871487,tanh,500,10,sgd,0.01,3
679,0.7808651720871487,tanh,200,15,sgd,0.1,5
668,0.7808651720871487,tanh,200,10,adam,0.0001,5
678,0.7808651720871487,tanh,200,15,sgd,0.01,5
1099,0.7807072939690559,tanh,200,10,sgd,0.1,10
335,0.7807072939690559,relu,200,5,adam,0.1,3
1270,0.7807072939690559,relu,500,5,adam,0.01,10
407,0.7807072939690559,relu,500,5,adam,0.1,3
653,0.7807072939690559,tanh,200,5,sgd,0.001,5
371,0.7807072939690559,relu,300,5,adam,0.1,3
943,0.7807072939690559,identity,500,5,sgd,0.1,10
1171,0.7807072939690559,tanh,500,10,sgd,0.1,10
296,0.7807072939690559,tanh,500,5,adam,0.0001,3
1198,0.7807072939690559,relu,200,5,adam,0.01,10
689,0.7807072939690559,tanh,300,5,sgd,0.001,5
907,0.7807072939690559,identity,300,5,sgd,0.1,10
1234,0.7807072939690559,relu,300,5,adam,0.01,10
871,0.7807072939690559,identity,200,5,sgd,0.1,10
1135,0.7807072939690559,tanh,300,10,sgd,0.1,10
725,0.7807072939690559,tanh,500,5,sgd,0.001,5
308,0.780549415850963,tanh,500,10,adam,0.0001,3
320,0.780549415850963,tanh,500,15,adam,0.0001,3
702,0.7803915377328702,tanh,300,10,sgd,0.01,5
738,0.7803915377328702,tanh,500,10,sgd,0.01,5
666,0.7803915377328702,tanh,200,10,sgd,0.01,5
235,0.7802336596147774,tanh,200,10,sgd,0.1,3
307,0.7802336596147774,tanh,500,10,sgd,0.1,3
271,0.7802336596147774,tanh,300,10,sgd,0.1,3
739,0.7800757814966846,tanh,500,10,sgd,0.1,5
839,0.7800757814966846,relu,500,5,adam,0.1,5
803,0.7800757814966846,relu,300,5,adam,0.1,5
767,0.7800757814966846,relu,200,5,adam,0.1,5
703,0.7800757814966846,tanh,300,10,sgd,0.1,5
396,0.7800757814966846,relu,500,5,lbfgs,0.0001,3
408,0.7800757814966846,relu,500,10,lbfgs,0.0001,3
667,0.7800757814966846,tanh,200,10,sgd,0.1,5
420,0.7800757814966846,relu,500,15,lbfgs,0.0001,3
1122,0.7797600252604989,tanh,300,5,sgd,0.01,10
1158,0.7797600252604989,tanh,500,5,sgd,0.01,10
1086,0.7797600252604989,tanh,200,5,sgd,0.01,10
1042,0.779602147142406,logistic,300,15,adam,0.01,10
1220,0.779602147142406,relu,200,15,adam,0.0001,10
1029,0.779602147142406,logistic,300,10,adam,0.001,10
1006,0.779602147142406,logistic,200,15,adam,0.01,10
993,0.779602147142406,logistic,200,10,adam,0.001,10
1196,0.779602147142406,relu,200,5,adam,0.0001,10
1208,0.779602147142406,relu,200,10,adam,0.0001,10
1065,0.779602147142406,logistic,500,10,adam,0.001,10
1078,0.779602147142406,logistic,500,15,adam,0.01,10
455,0.7794442690243132,identity,200,10,adam,0.1,5
476,0.7794442690243132,identity,300,5,adam,0.0001,5
491,0.7794442690243132,identity,300,10,adam,0.1,5
440,0.7794442690243132,identity,200,5,adam,0.0001,5
512,0.7794442690243132,identity,500,5,adam,0.0001,5
527,0.7794442690243132,identity,500,10,adam,0.1,5
369,0.7791285127881276,relu,300,5,adam,0.001,3
333,0.7791285127881276,relu,200,5,adam,0.001,3
405,0.7791285127881276,relu,500,5,adam,0.001,3
646,0.7789706346700347,logistic,500,15,adam,0.01,5
597,0.7789706346700347,logistic,300,10,adam,0.001,5
633,0.7789706346700347,logistic,500,10,adam,0.001,5
561,0.7789706346700347,logistic,200,10,adam,0.001,5
610,0.7789706346700347,logistic,300,15,adam,0.01,5
574,0.7789706346700347,logistic,200,15,adam,0.01,5
704,0.7786548784338491,tanh,300,10,adam,0.0001,5
692,0.7786548784338491,tanh,300,5,adam,0.0001,5
716,0.7786548784338491,tanh,300,15,adam,0.0001,5
121,0.7784970003157562,logistic,200,10,lbfgs,0.001,3
193,0.7784970003157562,logistic,500,10,lbfgs,0.001,3
145,0.7784970003157562,logistic,300,5,lbfgs,0.001,3
205,0.7784970003157562,logistic,500,15,lbfgs,0.001,3
181,0.7784970003157562,logistic,500,5,lbfgs,0.001,3
109,0.7784970003157562,logistic,200,5,lbfgs,0.001,3
157,0.7784970003157562,logistic,300,10,lbfgs,0.001,3
133,0.7784970003157562,logistic,200,15,lbfgs,0.001,3
169,0.7784970003157562,logistic,300,15,lbfgs,0.001,3
