,accuracy,var_smoothing,knn,model,alpha,fit_prior,force_alpha,binarize
591,0.8471739816861383,,3,Categorical,0.5,True,True,
592,0.8471739816861383,,3,Categorical,0.5,True,False,
652,0.8468582254499526,,10,Categorical,2.0,True,False,
651,0.8468582254499526,,10,Categorical,2.0,True,True,
596,0.8467003473318598,,3,Categorical,1.0,True,False,
620,0.8467003473318598,,5,Categorical,1.0,True,False,
595,0.8467003473318598,,3,Categorical,1.0,True,True,
619,0.8467003473318598,,5,Categorical,1.0,True,True,
616,0.8460688348594885,,5,Categorical,0.5,True,False,
615,0.8460688348594885,,5,Categorical,0.5,True,True,
599,0.8459109567413956,,3,Categorical,1.5,True,True,
600,0.8459109567413956,,3,Categorical,1.5,True,False,
607,0.8457530786233028,,3,Categorical,2.5,True,True,
604,0.8457530786233028,,3,Categorical,2.0,True,False,
612,0.8457530786233028,,3,Categorical,3.0,True,False,
603,0.8457530786233028,,3,Categorical,2.0,True,True,
608,0.8457530786233028,,3,Categorical,2.5,True,False,
611,0.8457530786233028,,3,Categorical,3.0,True,True,
643,0.84559520050521,,10,Categorical,1.0,True,True,
644,0.84559520050521,,10,Categorical,1.0,True,False,
655,0.8454373223871171,,10,Categorical,2.5,True,True,
656,0.8454373223871171,,10,Categorical,2.5,True,False,
628,0.8454373223871171,,5,Categorical,2.0,True,False,
627,0.8454373223871171,,5,Categorical,2.0,True,True,
632,0.8452794442690243,,5,Categorical,2.5,True,False,
639,0.8452794442690243,,10,Categorical,0.5,True,True,
631,0.8452794442690243,,5,Categorical,2.5,True,True,
640,0.8452794442690243,,10,Categorical,0.5,True,False,
635,0.8451215661509315,,5,Categorical,3.0,True,True,
636,0.8451215661509315,,5,Categorical,3.0,True,False,
624,0.844647931796653,,5,Categorical,1.5,True,False,
623,0.844647931796653,,5,Categorical,1.5,True,True,
659,0.844647931796653,,10,Categorical,3.0,True,True,
660,0.844647931796653,,10,Categorical,3.0,True,False,
653,0.8444900536785601,,10,Categorical,2.0,False,True,
654,0.8444900536785601,,10,Categorical,2.0,False,False,
647,0.8441742974423745,,10,Categorical,1.5,True,True,
648,0.8441742974423745,,10,Categorical,1.5,True,False,
649,0.8441742974423745,,10,Categorical,1.5,False,True,
650,0.8441742974423745,,10,Categorical,1.5,False,False,
657,0.8435427849700031,,10,Categorical,2.5,False,True,
