,oob_r2,criterion,max_depth,max_leaf_nodes,n_estimators,knn
1378,0.8589214425874552,log_loss,15.0,,300,10
1218,0.8589214425874552,entropy,15.0,,300,10
1379,0.8587184518573652,log_loss,15.0,,400,10
1219,0.8587184518573652,entropy,15.0,,400,10
98,0.8586507882806685,gini,15.0,,300,3
576,0.8586507882806685,gini,15.0,,150,5
1059,0.8583801339738819,gini,15.0,,400,10
578,0.8583124703971852,gini,15.0,,300,5
579,0.8580418160903985,gini,15.0,,400,5
577,0.8580418160903985,gini,15.0,,200,5
99,0.8579741525137019,gini,15.0,,400,3
1058,0.8578388253603085,gini,15.0,,300,10
1057,0.8577034982069153,gini,15.0,,200,10
96,0.8574328439001285,gini,15.0,,150,3
611,0.8571621895933419,gini,20.0,,400,5
610,0.8570268624399485,gini,20.0,,300,5
259,0.8569591988632519,entropy,15.0,,400,3
419,0.8569591988632519,log_loss,15.0,,400,3
899,0.8568915352865553,log_loss,15.0,,400,5
739,0.8568915352865553,entropy,15.0,,400,5
1217,0.8568238717098586,entropy,15.0,,200,10
450,0.8568238717098586,log_loss,20.0,,300,3
290,0.8568238717098586,entropy,20.0,,300,3
1377,0.8568238717098586,log_loss,15.0,,200,10
930,0.8564855538263753,log_loss,20.0,,300,5
770,0.8564855538263753,entropy,20.0,,300,5
97,0.8564178902496786,gini,15.0,,200,3
1250,0.8563502266729819,entropy,20.0,,300,10
257,0.8563502266729819,entropy,15.0,,200,3
417,0.8563502266729819,log_loss,15.0,,200,3
1410,0.8563502266729819,log_loss,20.0,,300,10
130,0.8563502266729819,gini,20.0,,300,3
738,0.8562825630962853,entropy,15.0,,300,5
898,0.8562825630962853,log_loss,15.0,,300,5
1216,0.8562148995195886,entropy,15.0,,150,10
448,0.8562148995195886,log_loss,20.0,,150,3
1376,0.8562148995195886,log_loss,15.0,,150,10
288,0.8562148995195886,entropy,20.0,,150,3
1411,0.8562148995195886,log_loss,20.0,,400,10
1251,0.8562148995195886,entropy,20.0,,400,10
1026,0.856147235942892,gini,10.0,,300,10
291,0.8560795723661953,entropy,20.0,,400,3
451,0.8560795723661953,log_loss,20.0,,400,3
258,0.8560119087894986,entropy,15.0,,300,3
1056,0.8560119087894986,gini,15.0,,150,10
418,0.8560119087894986,log_loss,15.0,,300,3
449,0.8560119087894986,log_loss,20.0,,200,3
289,0.8560119087894986,entropy,20.0,,200,3
1024,0.855944245212802,gini,10.0,,150,10
129,0.8558765816361052,gini,20.0,,200,3
256,0.8558765816361052,entropy,15.0,,150,3
416,0.8558765816361052,log_loss,15.0,,150,3
131,0.8558089180594086,gini,20.0,,400,3
771,0.8556735909060152,entropy,20.0,,400,5
931,0.8556735909060152,log_loss,20.0,,400,5
736,0.8556059273293186,entropy,15.0,,150,5
896,0.8556059273293186,log_loss,15.0,,150,5
737,0.855538263752622,entropy,15.0,,200,5
897,0.855538263752622,log_loss,15.0,,200,5
609,0.8554706001759252,gini,20.0,,200,5
769,0.8554029365992286,entropy,20.0,,200,5
1091,0.8554029365992286,gini,20.0,,400,10
929,0.8554029365992286,log_loss,20.0,,200,5
1089,0.8554029365992286,gini,20.0,,200,10
1025,0.8554029365992286,gini,10.0,,200,10
1027,0.8552676094458354,gini,10.0,,400,10
1090,0.855132282292442,gini,20.0,,300,10
128,0.855132282292442,gini,20.0,,150,3
928,0.855132282292442,log_loss,20.0,,150,5
768,0.855132282292442,entropy,20.0,,150,5
547,0.854726300832262,gini,10.0,,400,5
1248,0.8545909736788687,entropy,20.0,,150,10
1408,0.8545909736788687,log_loss,20.0,,150,10
1088,0.8545909736788687,gini,20.0,,150,10
546,0.8542526557953853,gini,10.0,,300,5
65,0.8542526557953853,gini,10.0,,200,3
1409,0.854117328641992,log_loss,20.0,,200,10
1249,0.854117328641992,entropy,20.0,,200,10
608,0.854117328641992,gini,20.0,,150,5
545,0.8539820014885987,gini,10.0,,200,5
544,0.8539143379119021,gini,10.0,,150,5
1347,0.8537790107585087,log_loss,10.0,,400,10
1187,0.8537790107585087,entropy,10.0,,400,10
1345,0.8535760200284187,log_loss,10.0,,200,10
1185,0.8535760200284187,entropy,10.0,,200,10
320,0.8534406928750253,log_loss,,,150,3
160,0.8534406928750253,entropy,,,150,3
67,0.8534406928750253,gini,10.0,,400,3
64,0.8534406928750253,gini,10.0,,150,3
1346,0.8533053657216321,log_loss,10.0,,300,10
1186,0.8533053657216321,entropy,10.0,,300,10
323,0.8532377021449353,log_loss,,,400,3
387,0.8532377021449353,log_loss,10.0,,400,3
163,0.8532377021449353,entropy,,,400,3
227,0.8532377021449353,entropy,10.0,,400,3
66,0.8531023749915421,gini,10.0,,300,3
161,0.8530347114148454,entropy,,,200,3
321,0.8530347114148454,log_loss,,,200,3
706,0.8529670478381487,entropy,10.0,,300,5
866,0.8529670478381487,log_loss,10.0,,300,5
386,0.8527640571080587,log_loss,10.0,,300,3
226,0.8527640571080587,entropy,10.0,,300,3
1344,0.8526963935313621,log_loss,10.0,,150,10
1184,0.8526963935313621,entropy,10.0,,150,10
867,0.8526287299546654,log_loss,10.0,,400,5
707,0.8526287299546654,entropy,10.0,,400,5
865,0.8523580756478788,log_loss,10.0,,200,5
705,0.8523580756478788,entropy,10.0,,200,5
322,0.8522904120711821,log_loss,,,300,3
