,accuracy,metric,n_neighbors,weights,knn
227,0.7897063467003473,cosine,10,distance,10
225,0.7884433217556047,cosine,8,distance,10
35,0.7882854436375119,cosine,10,distance,3
131,0.7873381749289549,cosine,10,distance,5
222,0.7873381749289549,cosine,7,uniform,10
223,0.7860751499842122,cosine,7,distance,10
34,0.7856015156299337,cosine,10,uniform,3
30,0.7854436375118409,cosine,7,uniform,3
33,0.7849700031575624,cosine,8,distance,3
31,0.7849700031575624,cosine,7,distance,3
226,0.7848121250394695,cosine,10,uniform,10
32,0.7822860751499842,cosine,8,uniform,3
224,0.7821281970318914,cosine,8,uniform,10
130,0.78149668455952,cosine,10,uniform,5
220,0.7811809283233344,cosine,5,uniform,10
126,0.7810230502052415,cosine,7,uniform,5
129,0.7794442690243132,cosine,8,distance,5
127,0.7789706346700347,cosine,7,distance,5
221,0.7775497316071992,cosine,5,distance,10
29,0.7770760972529207,cosine,5,distance,3
128,0.776918219134828,cosine,8,uniform,5
28,0.7764445847805495,cosine,5,uniform,3
215,0.7758130723081781,cityblock,10,distance,10
275,0.7758130723081781,manhattan,10,distance,10
251,0.7758130723081781,l1,10,distance,10
23,0.7756551941900852,cityblock,10,distance,3
83,0.7756551941900852,manhattan,10,distance,3
59,0.7756551941900852,l1,10,distance,3
270,0.7748658035996211,manhattan,7,uniform,10
210,0.7748658035996211,cityblock,7,uniform,10
246,0.7748658035996211,l1,7,uniform,10
125,0.7729712661825071,cosine,5,distance,5
54,0.7728133880644142,l1,7,uniform,3
18,0.7728133880644142,cityblock,7,uniform,3
78,0.7728133880644142,manhattan,7,uniform,3
179,0.7726555099463215,manhattan,10,distance,5
119,0.7726555099463215,cityblock,10,distance,5
155,0.7726555099463215,l1,10,distance,5
58,0.7724976318282286,l1,10,uniform,3
82,0.7724976318282286,manhattan,10,uniform,3
22,0.7724976318282286,cityblock,10,uniform,3
258,0.7723397537101357,l2,7,uniform,10
198,0.7723397537101357,minkowski,7,uniform,10
234,0.7723397537101357,euclidean,7,uniform,10
282,0.7723397537101357,nan_euclidean,7,uniform,10
124,0.772181875592043,cosine,5,uniform,5
150,0.7718661193558572,l1,7,uniform,5
114,0.7718661193558572,cityblock,7,uniform,5
174,0.7718661193558572,manhattan,7,uniform,5
214,0.7717082412377645,cityblock,10,uniform,10
250,0.7717082412377645,l1,10,uniform,10
274,0.7717082412377645,manhattan,10,uniform,10
